"intexts","Freq"
"a",429871
"aa",129
"aaa",126
"aaaahhh",3
"aah",9
"aahhh",3
"aaliyah",3
"aam",27
"aap",3
"aapl",8
"aardvark",3
"aaron",386
"aarp",30
"aas",11
"aasl",4
"aau",34
"ab",94
"aba",27
"abandon",165
"abandoned",382
"abba",26
"abbey",131
"abbie",19
"abbott",79
"abby",141
"abc",351
"abcd",3
"abdc",35
"abdominal",48
"abdu",11
"abducted",43
"abduction",37
"abdul",71
"abe",41
"abed",8
"abel",32
"abide",83
"abiding",65
"abigail",43
"abilities",200
"ability",1507
"able",5479
"abnormally",12
"aboard",202
"abode",29
"abomination",26
"abort",19
"abortion",349
"abortions",89
"abound",54
"about",50733
"above",2789
"aboyfriendshouldalways",8
"abq",49
"abraham",200
"abram",3
"abrams",35
"abroad",274
"abruptly",68
"abs",72
"absence",329
"absences",22
"absent",177
"absentee",38
"absinthe",21
"absolut",13
"absolute",406
"absolutely",1488
"absorb",119
"absorbing",64
"abstinence",31
"abstract",127
"absurd",160
"absurdity",35
"absurdly",21
"abt",123
"abu",63
"abundance",168
"abundant",153
"abundantly",30
"abuse",828
"abused",191
"abuses",85
"abusing",74
"abusive",82
"abuzz",7
"abysmal",21
"abyss",57
"ac",135
"acad",4
"academia",36
"academic",565
"academics",120
"academy",647
"acapella",3
"acc",89
"accelerate",67
"accelerated",64
"acceleration",54
"accelerator",43
"accent",230
"accents",136
"accept",998
"acceptable",284
"acceptance",221
"accepted",726
"accepting",287
"accepts",72
"access",1447
"accessibility",60
"accessible",235
"accessing",45
"accessories",264
"accessory",67
"accident",761
"accidental",109
"accidentally",216
"accidently",21
"accidents",180
"accommodate",197
"accommodations",82
"accompanied",291
"accompany",139
"accompanying",129
"accomplish",327
"accomplished",391
"accomplishing",43
"accomplishment",142
"accomplishments",137
"according",4796
"accordingly",109
"account",1600
"accountability",210
"accountable",202
"accountant",75
"accountants",38
"accounting",245
"accounts",607
"acct",37
"accts",5
"accumulate",48
"accumulated",73
"accuracy",133
"accurate",361
"accurately",111
"accuse",71
"accused",799
"accuser",31
"ace",181
"aced",10
"aces",39
"ache",98
"aches",57
"achieve",600
"achieved",315
"achievement",325
"achievements",129
"achieving",148
"achilles",62
"aching",58
"acid",226
"ack",19
"acknowledge",297
"acknowledged",434
"acknowledgements",8
"acknowledging",96
"acl",88
"acm",7
"acme",22
"acms",3
"acne",52
"aco",5
"acount",3
"acoustic",146
"acoustics",7
"acp",3
"acquaintance",61
"acquainted",44
"acquire",174
"acquired",296
"acquiring",85
"acquisition",207
"acquisitions",80
"acre",225
"acres",382
"acrl",10
"acronym",25
"across",3686
"acrylic",89
"acs",14
"act",2567
"acta",102
"acted",232
"actin",7
"acting",913
"action",2393
"actionable",16
"actions",952
"activate",37
"activated",77
"active",849
"actively",233
"activism",72
"activist",240
"activists",334
"activities",1014
"activity",935
"actor",618
"actors",515
"actress",402
"actresses",60
"acts",724
"actsophia",4
"actual",1045
"actually",6082
"acumen",21
"acupuncture",33
"acura",64
"acute",96
"ad",780
"ada",35
"adam",650
"adamouski",3
"adams",584
"adapt",120
"adaptability",7
"adaptation",133
"adapter",27
"adapting",41
"adaptive",28
"aday",6
"add",4368
"addai",3
"added",3412
"addendum",17
"addict",64
"addicted",223
"addicting",33
"addiction",253
"addictions",34
"addictive",71
"addicts",67
"addie",15
"adding",1328
"addison",74
"addition",1550
"additional",1254
"additions",109
"addled",13
"address",1409
"addressed",304
"addresses",200
"addressing",162
"adds",536
"addy",23
"adele",122
"adequate",159
"adhd",42
"adhere",89
"adidas",57
"adina",3
"adios",10
"adj",7
"adjacent",147
"adjective",31
"adjectives",22
"adjourned",25
"adjust",245
"adjusted",211
"adjusting",100
"adjustment",135
"adjustments",155
"adler",52
"adm",17
"admin",50
"administer",55
"administration",1443
"administrative",321
"administrator",275
"administrators",227
"admins",4
"admiral",60
"admirals",10
"admiration",81
"admire",188
"admired",118
"admission",387
"admissions",87
"admit",892
"admits",147
"admitted",530
"admittedly",137
"admitting",108
"ado",59
"adobe",71
"adolf",24
"adopt",233
"adoptable",3
"adopted",424
"adopter",8
"adopters",9
"adopting",90
"adoption",246
"adorable",392
"adore",223
"adored",49
"adores",36
"adorkable",3
"adrenaline",64
"adress",4
"adrian",121
"adriana",21
"ads",441
"adtr",3
"adult",1014
"adults",887
"adv",8
"advance",749
"advanced",474
"advances",117
"advancing",74
"advantage",951
"advantages",137
"advent",87
"adventure",691
"adventures",339
"adverse",70
"adversity",72
