en_main,en_sauce,en_red,en_white,fr_main,fr_sauce,fr_red,fr_white,ru_main,ru_sauce,ru_red,ru_white,de_main,de_sauce,de_red,de_white,it_main,it_sauce,it_red,it_white
Fatty Meal,no,,"Riesling, Sauvignon Blanc",Gros Repas,no,,"Riesling, Sauvignon Blanc",Gros Repas,no,,"Riesling, Sauvignon Blanc",Gros Repas,no,,"Riesling, Sauvignon Blanc",Gros Repas,no,,"Riesling, Sauvignon Blanc"
Duck/Goose,Grilled or Baked,Mature Bordeaux and Burgundy reds,Rich whites from Alsace region,Canard/Oie,Grilled or Baked,Mature Bordeaux and Burgundy reds,Rich whites from Alsace region,Duck/Goose,Grilled or Baked,Mature Bordeaux and Burgundy reds,Rich whites from Alsace region,Duck/Goose,Grilled or Baked,Mature Bordeaux and Burgundy reds,Rich whites from Alsace region,Duck/Goose,Grilled or Baked,Mature Bordeaux and Burgundy reds,Rich whites from Alsace region
Duck/Goose,Fatty marinated,"young tannin Bordeaux, Californian Cabernet and Merlot","Alsace Gewurztraminer, Pinot Gris",Canard/Oie,Fatty marinated,"young tannin Bordeaux, Californian Cabernet and Merlot","Alsace Gewurztraminer, Pinot Gris",Duck/Goose,Fatty marinated,"young tannin Bordeaux, Californian Cabernet and Merlot","Alsace Gewurztraminer, Pinot Gris",Duck/Goose,Fatty marinated,"young tannin Bordeaux, Californian Cabernet and Merlot","Alsace Gewurztraminer, Pinot Gris",Duck/Goose,Fatty marinated,"young tannin Bordeaux, Californian Cabernet and Merlot","Alsace Gewurztraminer, Pinot Gris"
Duck/Goose,Sweet Sauce (Like apples and oranges),,Sweeter whites like Riesling Auslese and Sautern,Canard/Oie,Sweet Sauce (Like apples and oranges),,Sweeter whites like Riesling Auslese and Sautern,Duck/Goose,Sweet Sauce (Like apples and oranges),,Sweeter whites like Riesling Auslese and Sautern,Duck/Goose,Sweet Sauce (Like apples and oranges),,Sweeter whites like Riesling Auslese and Sautern,Duck/Goose,Sweet Sauce (Like apples and oranges),,Sweeter whites like Riesling Auslese and Sautern
Chicken,Grilled or Baked,"Light red wine from Northern Italy, Bordeaux, Spanish sparkling wine","White Burgundy Wines, Riesling, Sauvignon Blanc and easy going Champaign",Poulet,Grilled or Baked,"Light red wine from Northern Italy, Bordeaux, Spanish sparkling wine","White Burgundy Wines, Riesling, Sauvignon Blanc and easy going Champaign",Poulet,Grilled or Baked,"Light red wine from Northern Italy, Bordeaux, Spanish sparkling wine","White Burgundy Wines, Riesling, Sauvignon Blanc and easy going Champaign",Poulet,Grilled or Baked,"Light red wine from Northern Italy, Bordeaux, Spanish sparkling wine","White Burgundy Wines, Riesling, Sauvignon Blanc and easy going Champaign",Poulet,Grilled or Baked,"Light red wine from Northern Italy, Bordeaux, Spanish sparkling wine","White Burgundy Wines, Riesling, Sauvignon Blanc and easy going Champaign"
Red meat,no,Full bodies tannin red wines,,Viande rouge,no,Full bodies tannin red wines,,Red meat,no,Full bodies tannin red wines,,Red meat,no,Full bodies tannin red wines,,Red meat,no,Full bodies tannin red wines,
Lamb,grilled,"Red Bordeaux, New world Cabernet Sauvignong, Spanish Rioja, Ribero del Duero wines",,Agneau,grilled,"Red Bordeaux, New world Cabernet Sauvignong, Spanish Rioja, Ribero del Duero wines",,Lamb,grilled,"Red Bordeaux, New world Cabernet Sauvignong, Spanish Rioja, Ribero del Duero wines",,Lamb,grilled,"Red Bordeaux, New world Cabernet Sauvignong, Spanish Rioja, Ribero del Duero wines",,Lamb,grilled,"Red Bordeaux, New world Cabernet Sauvignong, Spanish Rioja, Ribero del Duero wines",
Lamb,herbal or spicy,Pinot Noit,,Agneau,herbal or spicy,Pinot Noit,,Lamb,herbal or spicy,Pinot Noit,,Lamb,herbal or spicy,Pinot Noit,,Lamb,herbal or spicy,Pinot Noit,
Kebab,no,"Zinfandel,Shiraz, Chilean Sabernet Sauvignong",,Kebab,no,"Zinfandel,Shiraz, Chilean Sabernet Sauvignong",,Kebab,no,"Zinfandel,Shiraz, Chilean Sabernet Sauvignong",,Kebab,no,"Zinfandel,Shiraz, Chilean Sabernet Sauvignong",,Kebab,no,"Zinfandel,Shiraz, Chilean Sabernet Sauvignong",
Kebab,Garlic,,Sauvignong Blanc,Kebab,Garlic,,Sauvignong Blanc,Kebab,Garlic,,Sauvignong Blanc,Kebab,Garlic,,Sauvignong Blanc,Kebab,Garlic,,Sauvignong Blanc
Burger,no,"Beaujolais, Chianti, Zinfandel, light Cabernet",,Hamburger,no,"Beaujolais, Chianti, Zinfandel, light Cabernet",,Burger,no,"Beaujolais, Chianti, Zinfandel, light Cabernet",,Burger,no,"Beaujolais, Chianti, Zinfandel, light Cabernet",,Burger,no,"Beaujolais, Chianti, Zinfandel, light Cabernet",
Salmon,no,"Pinot Noir, Merlor, light Bordeaux","White burgundy (Mersault and Chablis), Riesling, Chardonnay (especially from New Zealand)",Saumon,no,"Pinot Noir, Merlor, light Bordeaux","White burgundy (Mersault and Chablis), Riesling, Chardonnay (especially from New Zealand)",Salmon,no,"Pinot Noir, Merlor, light Bordeaux","White burgundy (Mersault and Chablis), Riesling, Chardonnay (especially from New Zealand)",Salmon,no,"Pinot Noir, Merlor, light Bordeaux","White burgundy (Mersault and Chablis), Riesling, Chardonnay (especially from New Zealand)",Salmon,no,"Pinot Noir, Merlor, light Bordeaux","White burgundy (Mersault and Chablis), Riesling, Chardonnay (especially from New Zealand)"
Red mullet,no,Pinot Noit,Full bodied whites,Rouget,no,Pinot Noit,Full bodied whites,Red mullet,no,Pinot Noit,Full bodied whites,Red mullet,no,Pinot Noit,Full bodied whites,Red mullet,no,Pinot Noit,Full bodied whites
Sardines,no,,"Greek white wines, Soave, Verdicchio",Sardines,no,,"Greek white wines, Soave, Verdicchio",Sardines,no,,"Greek white wines, Soave, Verdicchio",Sardines,no,,"Greek white wines, Soave, Verdicchio",Sardines,no,,"Greek white wines, Soave, Verdicchio"
